...1,Green.Space.5.mil,Green.Space.12.5.mil,Green.Space.25.mil,Temp.Redux.5.mil,Temp.Redux.12.5.mil,Temp.Redux.25.mil,BlockGroup,AvgReduxinNighttimeAnnualTemp_Celsius,PercentPopIncomeBelow2xPovertyLevel,Percent_GreenSpace,long,lat
77,78.1800317975542,78.1800559926416,78.1804184325578,0.90128122516507,0.901281585175821,0.901286978099777,371000000000,0.897439,21.89086294,78.18000031,-78.83660112,36.02221759
78,81.7500753362365,81.7505850403444,99.9575119323018,0.954401680347613,0.954409264488794,1.22531919415678,371000000000,0.90524,66.84350133,81.75,-78.85931742,36.01220683
79,83.1000342068893,83.100066816993,83.1005685730577,0.974488390470274,0.974488875692242,0.974496341570531,371000000000,0.920544,31.09565217,83.09999847,-78.85483203,36.04329163
80,79.9000501569187,79.9001249103185,79.9019889558252,0.926874234656909,0.926875346949961,0.926903083011082,371000000000,0.851617,49.15773354,79.90000153,-78.84251652,36.03361343
81,74.140055369621,74.1401741594142,74.5505537904113,0.841168404564073,0.841170172096546,0.847276414936446,371000000000,0.844253,55.75666164,74.13999939,-78.84866603,35.99889007
82,73.4200514373251,73.4201514889571,73.4250625531561,0.830455107596581,0.830456596314625,0.830529670483849,371000000000,0.745898,53.54239257,73.41999817,-78.84586139,35.99160239
83,73.6400520126837,73.6401480901071,73.6442138643045,0.833728605686126,0.833730035269942,0.833790531948399,371000000000,0.837337,52.98165138,73.63999939,-78.85113013,35.98180695
84,81.8000723001252,81.8003689798078,99.2872108977051,0.955145610064643,0.955150024509343,1.21534545134908,371000000000,0.942132,64.01718582,81.80000305,-78.85908235,35.97348191
85,82.7300335015781,82.7300554512451,82.7303837471799,0.968982965768577,0.968983292368601,0.968988177247258,371000000000,0.935838,18.46075173,82.73000336,-78.820977009999993,36.01228499
86,75.5200397161064,75.520092469975907,75.5210493455192,0.861701878690034,0.861702663641123,0.861716901468719,371000000000,0.794621,42.71356784,75.51999664,-78.83638804,35.97581384
87,71.0100310400217,71.0100509758764,71.0103500887567,0.794595214260035,0.794595510895543,0.794599961545003,371000000000,0.629451,14.92905614,71.01000214,-78.8076303,35.98714263
88,68.590024902857,68.5900443192487,68.5903360159839,0.758586738128625,0.758587027034784,0.758591367335729,371000000000,0.648923,13.91927575,68.58999634,-78.82759443,35.98989004
89,72.6600293082265,72.6600447531147,72.6602804187021,0.819146359955529,0.819146589767711,0.819150096353313,371000000000,0.695296,4.250681199,72.66000366,-78.81167798,35.97389765
90,83.7800297207967,83.7800530058409,83.7804013380404,0.9846063822621,0.984606728731865,0.984611911740081,371000000000,0.966031,20.55114433,83.77999878,-78.81326896,35.95656667
91,82.0400417274855,82.0400873209664,82.0408569127908,0.95871623464475,0.958716913052852,0.958728364192753,371000000000,0.873087,39.55685891,82.04000092,-78.85169051,35.94771253
92,77.4700311204642,77.4700526495458,77.4703748844707,0.890716771611974,0.890717091953898,0.890721886647774,371000000000,0.690678,17.78151261,77.47000122,-78.82617191,35.93456517
93,80.0100287538932,80.010045485879,80.0102987886742,0.928510660954885,0.928510909918433,0.928514678936831,371000000000,0.98227,7.744636316,80.01000214,-78.932641,35.96310444
94,79.0800289032798,79.0800462494143,79.0803081879028,0.91467273017085,0.91467298827262,0.9146768857858,371000000000,0.921427,9.288354898,79.08000183,-78.94024278,35.94098942
95,78.8600363406051,78.8600689265579,78.8605703150535,0.911399351306017,0.911399836168631,0.911407296577677,371000000000,0.978127,31.08108108,78.86000061,-78.942257,35.95501794
96,83.6300285070351,83.6300523325846,83.6304089157102,0.982374439523416,0.982374794035628,0.98238009981348,371000000000,0.950185,21.34502924,83.62999725,-78.95137509,35.94855411
97,79.6600292127883,79.6600445723061,79.6602788448425,0.923302843533131,0.923303072075043,0.923306557932747,371000000000,0.987491,3.947368421,79.66000366,-78.95722904,35.93721218
98,68.6100449541055,68.6101020976918,68.6111934980711,0.75888462643827,0.75888547670614,0.758901716195744,371000000000,0.776034,44.32907348,68.61000061,-78.88244962,35.9652651
99,73.0100441912517,73.0100935921186,73.0109584882763,0.824354405657354,0.824355140717449,0.824368009937973,371000000000,0.863162,41.33333333,73.01000214,-78.9008426,35.95783596
100,75.9400468870146,75.9401044358455,75.9412086886023,0.867951374489408,0.867952230787114,0.867968661513642,371000000000,0.874495,44.4588464,75.94000244,-78.91815724,35.95581689
101,82.3600269851185,82.3600434180954,82.3602924503253,0.96347745459991,0.963477699114356,0.963481404588887,371000000000,0.920839,6.940700809,82.36000061,-78.91640517,35.89778038
102,87.040032471351,87.0400568408656,87.0404216135837,1.03311358620217,1.03311394880831,1.03311937644319,371000000000,1.007632,22.09543568,87.04000092,-78.90531536,35.89496788
103,79.4200263929725,79.4200453650724,79.4203303437823,0.919731722090053,0.919732004385373,0.919736244725476,371000000000,0.807398,12.95210166,79.41999817,-78.90805909,35.88174562
104,64.4800433015128,64.4800863306541,64.4807972734917,0.697432275699893,0.697432915951909,0.697443494424338,371000000000,0.720227,38.24657534,64.48000336,-78.93941779,35.9679464
105,60.0000216950924,60.0001147349622,60.0037469821381,0.630771803808696,0.63077318819524,0.63082723420931,371000000000,0.569181,53.52422907,53.93999863,-78.95066325,35.96448014
106,60.0000046115293,60.0000396968298,60.0002913461377,0.630771549613857,0.63077207166551,0.630775816080848,371000000000,0.482426,19.40532081,43.95000076,-78.95235328,35.97148471
107,61.7900652044534,61.7902723484021,95.8070151102304,0.657406752369832,0.657409834567773,1.16356188558807,371000000000,0.707448,61.39981977,61.79000092,-78.97119197,35.95814188
108,60.0000080024304,60.0000487797721,60.0003952019313,0.630771600068762,0.63077220681513,0.630777361402905,371000000000,0.46301,29.11330049,45.61000061,-78.96166856,35.95937928
109,88.5300237489464,88.5300384946804,88.5302636679471,1.05528390822382,1.05528412763293,1.05528747809807,371000000000,1.052558,1.900584795,88.52999878,-78.97886642,35.99501904
110,72.5100273436987,72.5100422357407,72.5102702914217,0.81691440604582,0.816914627631928,0.816918020985944,371000000000,0.910234,2.575660013,72.51000214,-78.95952188,35.97964637
111,73.7300347289906,73.730058694319,73.7304177363342,0.835067503320566,0.835067859912618,0.835073202277513,371000000000,0.896782,21.58167036,73.73000336,-78.98481277,35.96643061
112,73.0100290674314,73.0100461846973,73.0103050967011,0.824354180622503,0.824354435318825,0.82435828779943,371000000000,0.850721,8.763277693,73.01000214,-79.00096892,35.92357953
113,72.4400440486573,72.4400920614927,72.4409211843605,0.815873089757239,0.815873804164121,0.815886141096056,371000000000,0.889008,40.71573261,72.44000244,-78.98560992,35.94533335
114,83.4000284701713,83.4000456662495,83.4003053107094,0.978952154467834,0.978952410336842,0.978956273716027,371000000000,1.009655,8.885163453,83.40000153,-78.97795279,35.92711239
115,83.4100423833557,83.4100821859389,83.4107227414738,0.979101156467599,0.979101748710051,0.979111279854759,371000000000,1.04142,36.34377276,83.41000366,-78.97281259,35.9033351
116,91.7300418857566,91.7300810345432,91.730708823238,1.10289857123224,1.10289915374652,1.10290849492706,371000000000,1.08842,35.95068138,91.73000336,-78.99290699,35.87854232
117,83.840021887001,83.8400372717618,83.8402716922597,0.985499035570561,0.985499264488077,0.985502752547374,371000000000,1.025938,3.976143141,83.83999634,-78.98976682,35.89821934
118,88.5500287550464,88.550044410968,88.5502821337748,1.05558157266921,1.05558180562146,1.05558534281745,371000000000,1.076318,4.67404674,88.55000305,-78.95810003,35.88321462
119,81.2600278301582,81.2600433728424,81.2602801091811,0.947110019531186,0.947110250798522,0.947113773316366,371000000000,0.900007,4.471903501,81.26000214,-78.93092616,35.88194935
